sample,DDX11L1,WASH7P,MIR6859-1,MIR1302-2HG,FAM138A,OR4G4P,OR4G11P,OR4F5,RP11-34P13.7,CICP27,tissue_type
GTEX-11DYG-0011-R7b-SM-EXUS6,0.0,2.145,0.0,0.0,0.0,0.06166,0.0,0.0,0.01259,0.0,Putamen (basal ganglia) 
GTEX-11DYG-0011-R8a-SM-DO93F,0.0,1.743,0.0,0.02475,0.017580000000000002,0.025519999999999998,0.06841,0.02335,0.01042,0.0,Hypothalamus 
GTEX-11DYG-2926-SM-5H132,0.029710000000000004,9.129,0.0,0.0,0.04214,0.06116,0.0,0.0,0.04995,0.0,Cerebellum 
GTEX-11DZ1-0011-R10b-SM-DO943,0.0,2.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027639999999999998,Frontal Cortex (BA9) 
GTEX-11DZ1-0011-R11b-SM-DO11W,0.0,4.831,0.0,0.1242,0.0,0.0,0.1907,0.1562,0.08712,0.04141,Cerebellar Hemisphere 
GTEX-11DZ1-0011-R2a-SM-DNZZM,0.0,2.565,0.0,0.06667999999999999,0.0,0.03437,0.09215,0.0,0.01404,0.0417,Substantia nigra 
GTEX-11DZ1-0011-R3a-SM-DNZYY,0.014969999999999999,2.358,0.0,0.1195,0.0,0.03081,0.08259,0.028189999999999996,0.01258,0.007475,Anterior cingulate cortex (BA24) 
GTEX-11DZ1-0011-R5a-SM-DO11J,0.0,1.3630000000000002,0.0,0.0275,0.0,0.02835,0.076,0.1297,0.01158,0.027510000000000003,Caudate (basal ganglia) 
GTEX-11DZ1-0011-R6b-SM-DNZZG,0.01376,1.093,0.0,0.05495,0.0,0.08498,0.02531,0.05184,0.02313,0.027489999999999997,Nucleus accumbens (basal ganglia) 
GTEX-11DZ1-0011-R7a-SM-DNZZH,0.014980000000000002,1.5019999999999998,0.0,0.0,0.0,0.1233,0.0551,0.056420000000000005,0.02518,0.0,Putamen (basal ganglia) 
GTEX-11DZ1-0011-R8b-SM-DNZZI,0.0,0.9976,0.0,0.0,0.0,0.0,0.05421,0.02775,0.01239,0.0,Hypothalamus 
GTEX-11DZ1-0011-R9a-SM-DO933,0.01877,3.568,0.0,0.0,0.0,0.0,0.0,0.0,0.047330000000000004,0.2062,Spinal cord (cervical c-1) 
GTEX-11DZ1-2926-SM-5A5KI,0.03155,3.943,0.0,0.06298,0.044739999999999995,0.06493,0.0,0.0,0.0,0.07877,Cerebellum 
GTEX-11EI6-0011-R10a-SM-DO93R,0.0,1.409,0.0,0.0,0.0,0.07956,0.1066,0.0728,0.0,0.0193,Frontal Cortex (BA9) 
GTEX-11EI6-0011-R11a-SM-DO11V,0.0,2.253,0.0,0.06225,0.0,0.09626,0.05735,0.1468,0.0131,0.007784999999999999,Cerebellar Hemisphere 
GTEX-11EI6-0011-R1a-SM-DO93L,0.01289,1.577,0.0,0.0,0.0,0.07957,0.0474,0.02427,0.0,0.006435,Hippocampus 
GTEX-11EI6-0011-R8a-SM-DO93M,0.0,0.6323,0.0,0.02309,0.0,0.0476,0.0638,0.06533,0.029160000000000002,0.01155,Hypothalamus 
GTEX-11EI6-2926-SM-5985U,0.0,2.978,0.0,0.0,0.05546,0.1207,0.1798,0.1105,0.0,0.0,Cerebellum 
GTEX-11EI6-3026-SM-5GZZO,0.01485,1.9140000000000001,0.0,0.0,0.0,0.030560000000000004,0.02731,0.055929999999999994,0.01248,0.014830000000000001,Cortex 
GTEX-11EMC-0011-R10a-SM-DNZZJ,0.032619999999999996,2.633,0.0,0.0,0.02314,0.06715,0.09001,0.09217,0.0,0.01629,Frontal Cortex (BA9) 
GTEX-11EMC-0011-R11b-SM-DNZZK,0.0,4.401,0.0,0.07847,0.0,0.0809,0.07229,0.1481,0.0,0.029439999999999997,Cerebellar Hemisphere 
GTEX-11EMC-0011-R2b-SM-DO114,0.0,0.836,0.0,0.0,0.0207,0.09011,0.05368,0.1924,0.0,0.0,Substantia nigra 
GTEX-11EMC-0011-R8b-SM-DO91Z,0.0,0.9689,0.0,0.0,0.0,0.0,0.07605,0.051910000000000005,0.0,0.0,Hypothalamus 
GTEX-11EMC-0011-R9b-SM-DO921,0.01726,2.27,0.0,0.0,0.0,0.0,0.0,0.032510000000000004,0.0,0.03449,Spinal cord (cervical c-1) 
GTEX-11EMC-3226-SM-5EGKW,0.0,2.935,0.0,0.0,0.0,0.0,0.09874,0.1685,0.0,0.026810000000000004,Cortex 
GTEX-11EMC-3326-SM-5P9JH,0.0,5.461,0.0,0.0,0.0,0.046669999999999996,0.2085,0.0,0.01906,0.02265,Cerebellum 
GTEX-11GS4-0011-R1a-SM-DO129,0.015269999999999999,2.008,0.0,0.06097,0.04331,0.03143,0.1966,0.115,0.0,0.007625,Hippocampus 
GTEX-11GS4-0011-R2a-SM-DO942,0.0,2.6630000000000003,0.0,0.0346,0.0,0.03567,0.0,0.0,0.0,0.0,Substantia nigra 
GTEX-11GS4-3126-SM-5A5LH,0.02153,2.383,0.0,0.04299,0.0,0.0,0.07921,0.04055,0.0181,0.021509999999999998,Cortex 
GTEX-11GSO-0011-R1b-SM-57WD3,0.0,1.574,0.0,0.0,0.0,0.03362,0.1202,1.3840000000000001,0.08237,0.008157,Hippocampus 
GTEX-11GSO-0011-R2a-SM-57WDF,0.0,1.162,0.0,0.0,0.06784,0.0,0.0,0.8708,0.0134,0.02389,Substantia nigra 
GTEX-11GSO-0011-R3b-SM-57WB2,0.0,1.078,0.0,0.041339999999999995,0.0,0.04262,0.0,0.35100000000000003,0.03481,0.0,Anterior cingulate cortex (BA24) 
GTEX-11GSO-2926-SM-5HL73,0.0263,1.335,0.0,0.0,0.0373,0.0,0.1451,0.5448,0.1105,0.0,Cortex 
GTEX-11GSO-3026-SM-5Q5AL,0.0,3.522,0.0,0.0,0.0,0.0,0.1026,0.4727,0.0,0.04178,Cerebellum 
GTEX-11GSP-0011-R10a-SM-5NQ7J,0.0,1.62,0.0,0.036000000000000004,0.0,0.0,0.06634,0.06792999999999999,0.01516,0.08105,Frontal Cortex (BA9) 
GTEX-11GSP-0011-R11b-SM-5NQ7V,0.04251,5.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042460000000000005,Cerebellar Hemisphere 
GTEX-11GSP-0011-R1a-SM-9QEJ3,0.014480000000000002,1.169,0.0,0.0,0.0,0.0,0.026639999999999997,0.027280000000000002,0.0,0.02893,Hippocampus 
GTEX-11GSP-0011-R2b-SM-9QEGE,0.0,1.633,0.0,0.07364,0.0,0.03796,0.06785,0.03474,0.0155,0.055260000000000004,Substantia nigra 
GTEX-11GSP-0011-R3a-SM-9QEGF,0.01511,0.846,0.0,0.03017,0.0,0.031110000000000002,0.05559,0.08539,0.0127,0.030189999999999998,Anterior cingulate cortex (BA24) 
GTEX-11GSP-0011-R5a-SM-57WBE,0.0,1.9340000000000002,0.0,0.0,0.0,0.0,0.04712,0.04825,0.02153,0.0,Caudate (basal ganglia) 
GTEX-11GSP-0011-R6b-SM-57WBQ,0.0,1.429,0.0,0.0,0.01769,0.05135,0.06883,0.07048,0.02097,0.03115,Nucleus accumbens (basal ganglia) 
GTEX-11GSP-0011-R7b-SM-57WC3,0.01927,1.079,0.0,0.0,0.02733,0.0,0.03544,0.0,0.032389999999999995,0.01925,Putamen (basal ganglia) 
GTEX-11GSP-0011-R8b-SM-5NQ79,0.01695,1.544,0.0,0.03383,0.024030000000000003,0.03488,0.0935,0.06383,0.0,0.05078,Hypothalamus 
GTEX-11GSP-0011-R9b-SM-5NQ77,0.01983,2.065,0.0,0.0,0.0,0.0,0.03648,0.03735,0.1,0.0,Spinal cord (cervical c-1) 
GTEX-11GSP-3126-SM-5A5LL,0.027339999999999996,4.2010000000000005,0.0,0.0,0.0,0.0,0.0503,0.10300000000000001,0.06895,0.01366,Cerebellum 
GTEX-11GSP-3226-SM-5986O,0.01693,0.5732,0.0,0.0,0.0,0.1394,0.2803,0.2232,0.014230000000000001,0.008456,Cortex 
GTEX-11H98-0011-R10b-SM-5NQ98,0.0,1.704,0.0,0.0,0.0,0.1469,0.1313,0.04482,0.02,0.02377,Frontal Cortex (BA9) 
GTEX-11H98-0011-R11b-SM-5NQ6U,0.0,3.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cerebellar Hemisphere 
GTEX-11H98-0011-R5b-SM-57WCF,0.0,1.6740000000000002,0.0,0.0,0.0,0.042010000000000006,0.0,0.07687999999999999,0.08577,0.0,Caudate (basal ganglia) 
GTEX-11H98-0011-R8a-SM-5NQ8V,0.0,0.9620000000000001,0.0,0.04759,0.0,0.0,0.0,0.0,0.0,0.023809999999999998,Hypothalamus 
GTEX-11NUK-0011-R4a-SM-DO12B,0.07178999999999999,0.7852,0.0,0.1147,0.02037,0.08866,0.07923,0.1082,0.04828,0.03585,Amygdala 
GTEX-11NUK-0011-R5a-SM-DO93N,0.012980000000000002,1.419,0.0,0.0,0.0,0.026719999999999997,0.04775,0.02445,0.0,0.03241,Caudate (basal ganglia) 
GTEX-11NUK-0011-R6a-SM-DO93O,0.01369,1.051,0.0,0.02733,0.01941,0.0,0.07553,0.0,0.01151,0.027339999999999996,Nucleus accumbens (basal ganglia) 
GTEX-11NUK-0011-R7a-SM-DO93P,0.0,1.4180000000000001,0.0,0.09059,0.01609,0.0467,0.08346,0.02136,0.0286,0.0,Putamen (basal ganglia) 
GTEX-11NUK-2926-SM-5A5MD,0.01797,1.381,0.0,0.03588,0.0,0.0,0.03306,0.03385,0.0,0.026930000000000003,Cortex 
GTEX-11NUK-3026-SM-5986K,0.0,4.862,0.0,0.0,0.0,0.124,0.0,0.1134,0.05063,0.07521,Cerebellum 
GTEX-11NV4-0011-R5a-SM-5NQ88,0.0,3.767,0.0,0.0,0.0,0.0,0.0,0.0,0.015590000000000001,0.009264,Caudate (basal ganglia) 
GTEX-11NV4-0011-R6a-SM-57WD5,0.016130000000000002,2.0580000000000003,0.0,0.0,0.0,0.0,0.029660000000000002,0.09112999999999999,0.027110000000000002,0.02416,Nucleus accumbens (basal ganglia) 
GTEX-11NV4-0011-R7a-SM-57WDH,0.0,3.091,0.0,0.1102,0.0,0.0,0.0677,0.10400000000000001,0.01547,0.027569999999999997,Putamen (basal ganglia) 
GTEX-11NV4-2126-SM-5N9DS,0.0,3.068,0.0,0.03795,0.0,0.03912,0.1049,0.1074,0.07987999999999999,0.03797,Cortex 
GTEX-11NV4-2226-SM-5BC4T,0.0,12.62,0.0,0.08098999999999999,0.0,0.2505,0.0,0.0764,0.1364,0.08104,Cerebellum 
GTEX-11O72-0011-R5a-SM-DO922,0.0,1.6880000000000002,0.0,0.0,0.015590000000000001,0.04523,0.0,0.0,0.009236,0.01098,Caudate (basal ganglia) 
GTEX-11O72-0011-R6a-SM-DNZZQ,0.0,1.4369999999999998,0.0,0.020980000000000002,0.0,0.1298,0.1353,0.1188,0.017669999999999998,0.03149,Nucleus accumbens (basal ganglia) 
GTEX-11O72-2826-SM-5HL6W,0.03311,9.095,0.0,0.0,0.0,0.0,0.0,0.062360000000000006,0.05566,0.09921,Cerebellum 
GTEX-11O72-2926-SM-5BC4V,0.0192,4.224,0.0,0.115,0.05445,0.1185,0.3884,0.07231,0.0,0.0,Cortex 
GTEX-11OC5-0626-SM-5HL6M,0.0,2.908,0.0,0.0,0.0,0.07416,0.1325,0.0,0.0,0.03599,Cerebellum 
GTEX-11OC5-0726-SM-5P9JK,0.0,1.8780000000000001,0.0,0.03429,0.0,0.03535,0.03159,0.09702999999999999,0.014430000000000002,0.008576,Cortex 
GTEX-11OF3-0011-R11a-SM-57WCR,0.0,8.406,0.0,0.06023,0.0,0.4968,0.222,0.05682,0.3297,0.0,Cerebellar Hemisphere 
GTEX-11OF3-0011-R5a-SM-57WB4,0.0,1.976,0.0,0.0,0.0,0.0,0.03533,0.07236000000000001,0.08073,0.019190000000000002,Caudate (basal ganglia) 
GTEX-11OF3-0011-R6b-SM-57WBG,0.0,2.244,0.0,0.09833,0.06986,0.06759,0.0302,0.03092,0.1656,0.008199,Nucleus accumbens (basal ganglia) 
GTEX-11OF3-0011-R7a-SM-57WCG,0.0,3.077,0.0,0.03277,0.0,0.06757,0.0,0.061829999999999996,0.3173,0.0,Putamen (basal ganglia) 
GTEX-11OF3-0011-R8b-SM-57WCS,0.0,2.5789999999999997,0.0,0.0,0.0,0.03707,0.09938,0.1018,0.07569,0.02698,Hypothalamus 
GTEX-11OF3-2926-SM-5HL78,0.02889,10.31,0.0,0.0,0.04098,0.0,0.0,0.1632,0.2914,0.028860000000000004,Cortex 
GTEX-11ONC-0011-R1a-SM-57WD4,0.01915,0.8227,0.0,0.0,0.0,0.03941,0.03522,1.406,0.0,0.009563,Hippocampus 
GTEX-11ONC-0011-R4b-SM-DO93H,0.0,0.9886,0.0,0.0,0.0,0.03398,0.03036,2.238,0.0,0.008244,Amygdala 
GTEX-11ONC-0011-R5b-SM-DO93I,0.0,2.099,0.0,0.031869999999999996,0.0,0.03285,0.02936,0.7516,0.02683,0.01594,Caudate (basal ganglia) 
GTEX-11ONC-0011-R6a-SM-DO12A,0.013969999999999998,0.8,0.0,0.0,0.0,0.05749,0.025689999999999998,0.9469,0.01174,0.006973999999999999,Nucleus accumbens (basal ganglia) 
GTEX-11ONC-0011-R7b-SM-DO93J,0.0,1.409,0.0,0.0,0.0,0.025910000000000002,0.0,0.7111,0.08463,0.05657,Putamen (basal ganglia) 
GTEX-11ONC-0011-R8b-SM-5NQ87,0.0,1.7990000000000002,0.0,0.0,0.0,0.0,0.1896,0.8156,0.20800000000000002,0.0206,Hypothalamus 
GTEX-11ONC-0011-R9b-SM-5NQ8J,0.0,1.121,0.0,0.0,0.0,0.04322,0.07724,0.87,0.0,0.03146,Spinal cord (cervical c-1) 
GTEX-11ONC-2926-SM-5P9JM,0.03437,2.148,0.0,0.06862,0.024380000000000002,0.03537,0.03161,0.4855,0.01445,0.0,Cortex 
GTEX-11ONC-3026-SM-5985W,0.05504,4.228,0.0,0.0,0.03903,0.0,0.2025,0.2073,0.02313,0.027489999999999997,Cerebellum 
GTEX-11PRG-0011-R10b-SM-DO93G,0.0,1.805,0.0,0.08388999999999999,0.0,0.0,0.07728,0.0,0.0,0.0,Frontal Cortex (BA9) 
GTEX-11PRG-0011-R11b-SM-DNZZY,0.0,7.421,0.0,0.0,0.0,0.08532000000000001,0.1144,0.07807,0.034839999999999996,0.0,Cerebellar Hemisphere 
GTEX-11PRG-0011-R2a-SM-69LQ5,0.0,0.8358,0.0,0.0,0.02529,0.0,0.0656,0.0,0.01499,0.0,Substantia nigra 
GTEX-11PRG-0011-R4a-SM-DNZZR,0.0,1.692,0.0,0.025689999999999998,0.0,0.07945,0.142,0.02423,0.07571,0.01285,Amygdala 
GTEX-11PRG-0011-R5b-SM-DNZZS,0.013619999999999998,1.419,0.0,0.08159,0.0,0.08412,0.1002,0.07697000000000001,0.0229,0.006803,Caudate (basal ganglia) 
GTEX-11PRG-0011-R6b-SM-DO923,0.01408,2.09,0.0,0.0,0.0,0.057960000000000005,0.0,0.02652,0.05917000000000001,0.007031999999999999,Nucleus accumbens (basal ganglia) 
GTEX-11PRG-0011-R7a-SM-DNZZT,0.01347,1.649,0.0,0.0807,0.0,0.0832,0.07435,0.1015,0.06795,0.0,Putamen (basal ganglia) 
GTEX-11PRG-2826-SM-5BC54,0.0,8.445,0.0,0.0,0.0,0.0,0.1967,0.1342,0.0,0.0,Cerebellum 
GTEX-11PRG-2926-SM-5987A,0.0,1.944,0.0,0.08058,0.0,0.04154,0.03712,0.114,0.0,0.02016,Cortex 
GTEX-11TTK-0011-R10b-SM-DO925,0.0,3.1319999999999997,0.0,0.0,0.0,0.1198,0.0,0.0,0.685,0.00969,Frontal Cortex (BA9) 
GTEX-11TTK-0011-R11b-SM-DO112,0.02062,5.3420000000000005,0.0,0.0,0.0,0.1698,0.1138,0.07767,0.41600000000000004,0.0,Cerebellar Hemisphere 
GTEX-11TTK-0011-R4a-SM-DNZZU,0.0,1.903,0.0,0.0,0.0,0.1267,0.1698,0.1159,0.2069,0.007684999999999999,Amygdala 
GTEX-11TTK-0011-R5a-SM-DNZZV,0.0,1.421,0.0,0.1184,0.0,0.1954,0.1528,0.1341,0.1396,0.005926,Caudate (basal ganglia) 
GTEX-11TTK-0011-R6b-SM-DNZZW,0.0,1.6440000000000001,0.0,0.026539999999999998,0.0,0.1368,0.22,0.2003,0.1452,0.013280000000000002,Nucleus accumbens (basal ganglia) 
GTEX-11TTK-0011-R7b-SM-DNZZZ,0.0,2.013,0.0,0.0,0.0,0.1127,0.1007,0.1289,0.09202,0.0,Putamen (basal ganglia) 
GTEX-11TTK-0011-R8b-SM-DO111,0.015369999999999998,2.181,0.0,0.03069,0.0,0.2215,0.05655,0.0579,0.1421,0.007677,Hypothalamus 
GTEX-11TTK-2826-SM-5GU5K,0.08277999999999999,6.178999999999999,0.0,0.0,0.0,0.1704,0.1015,0.1039,0.1623,0.01378,Cerebellum 
GTEX-11TTK-2926-SM-5PNYP,0.05276,2.129,0.0,0.026330000000000003,0.0,0.19,0.1213,0.2484,0.07761,0.01317,Cortex 
GTEX-11TUW-0011-R10a-SM-DO924,0.0,2.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01707,Frontal Cortex (BA9) 
GTEX-11TUW-0011-R1a-SM-DO92S,0.0,1.179,0.0,0.0,0.019469999999999998,0.02825,0.10099999999999999,0.07754,0.0,0.01371,Hippocampus 
GTEX-11TUW-0011-R2b-SM-DO92T,0.0,1.817,0.0,0.0,0.0,0.0,0.0634,0.0,0.02897,0.03443,Substantia nigra 
GTEX-11UD1-0011-R1b-SM-5BC7D,0.0,7.324,0.0,0.0,0.0,0.1695,0.2019,0.3101,0.02307,0.027410000000000004,Hippocampus 
GTEX-11UD1-0011-R2b-SM-5BC6O,0.02787,5.697,0.0,0.0,0.03953,0.0,0.1538,0.105,0.07028,0.0,Substantia nigra 
GTEX-11UD1-0011-R3a-SM-5BC6S,0.0,3.4619999999999997,0.0,0.03587,0.025480000000000003,0.1849,0.06609,0.1692,0.0302,0.01795,Anterior cingulate cortex (BA24) 
GTEX-11UD1-0011-R5b-SM-5P9FP,0.01929,3.014,0.0,0.01926,0.0,0.09926,0.017740000000000002,0.1998,0.06485,0.03372,Caudate (basal ganglia) 
GTEX-11UD2-0011-R9b-SM-DO926,0.0,3.8989999999999996,0.0,0.0,0.041639999999999996,0.06043,0.0,0.05529,0.0,0.05865,Spinal cord (cervical c-1) 
GTEX-11WQC-0011-R10a-SM-57WCT,0.022080000000000002,3.1910000000000003,0.0,0.04409,0.03132,0.0,0.1218,0.1664,0.0,0.0,Frontal Cortex (BA9) 
GTEX-11WQC-0011-R11b-SM-57WD6,0.06373,8.187000000000001,0.0,0.04241,0.0,0.0,0.07815,0.08002000000000001,0.053570000000000007,0.031830000000000004,Cerebellar Hemisphere 
GTEX-11WQC-0011-R1b-SM-DO932,0.0277,2.705,0.0,0.0553,0.01964,0.057010000000000005,0.05095,0.02609,0.03492,0.01383,Hippocampus 
GTEX-11WQC-0011-R2a-SM-DO927,0.0,2.272,0.0,0.0,0.0,0.03592,0.06419,0.0,0.0,0.0,Substantia nigra 
GTEX-11WQC-0011-R3a-SM-DO11T,0.0,1.4180000000000001,0.0,0.0,0.02663,0.1546,0.1727,0.2475,0.031560000000000005,0.01875,Anterior cingulate cortex (BA24) 
GTEX-11WQC-0011-R5a-SM-5BC74,0.0,1.827,0.0,0.0,0.0,0.03358,0.06001,0.1536,0.02742,0.008147,Caudate (basal ganglia) 
GTEX-11WQC-0011-R6a-SM-5BC77,0.0,1.452,0.0,0.0655,0.04653,0.03377,0.03017,0.1545,0.02758,0.008193,Nucleus accumbens (basal ganglia) 
GTEX-11WQC-0011-R7b-SM-5BC7A,0.0,1.48,0.0,0.06134,0.02179,0.06323,0.1695,0.1447,0.0,0.0,Putamen (basal ganglia) 
GTEX-11WQC-0011-R8b-SM-57WCH,0.0,2.445,0.0,0.0,0.02895,0.04202,0.0,0.07689,0.034319999999999996,0.06117,Hypothalamus 
GTEX-11WQK-0011-R10a-SM-5BC6R,0.0448,1.196,0.0,0.044719999999999996,0.03177,0.0461,0.0412,0.1687,0.0,0.01119,Frontal Cortex (BA9) 
GTEX-11WQK-0011-R3b-SM-DO93K,0.0,1.266,0.0,0.0,0.0,0.0308,0.027530000000000002,0.028189999999999996,0.01258,0.04484,Anterior cingulate cortex (BA24) 
GTEX-11WQK-0011-R8a-SM-5BC7C,0.01694,0.7057,0.0,0.06763,0.0,0.03486,0.1869,0.0957,0.0,0.033839999999999995,Hypothalamus 
GTEX-11WQK-0011-R9b-SM-5BC6N,0.0,1.002,0.0,0.0,0.0,0.0428,0.1147,0.1175,0.017480000000000002,0.03115,Spinal cord (cervical c-1) 
GTEX-11WQK-3026-SM-5EQL6,0.0,3.14,0.0,0.04338,0.03082,0.044719999999999996,0.1998,0.08185,0.01826,0.0,Cortex 
GTEX-11ZTS-0011-R10a-SM-DO93S,0.0,1.306,0.0,0.0,0.0,0.03331,0.08929,0.0,0.0,0.008081,Frontal Cortex (BA9) 
GTEX-11ZTS-0011-R11a-SM-DO113,0.0622,3.583,0.0,0.0,0.02206,0.09602000000000001,0.14300000000000002,0.029289999999999997,0.03921,0.0,Cerebellar Hemisphere 
GTEX-11ZTS-0011-R1a-SM-5BC71,0.0,0.7169,0.0,0.0,0.0,0.08095,0.07234,0.1111,0.06612,0.01964,Hippocampus 
GTEX-11ZTS-0011-R2b-SM-5BC75,0.04344,1.244,0.0,0.04337,0.03081,0.1341,0.03995,0.1227,0.0,0.01085,Substantia nigra 
GTEX-11ZTS-0011-R3a-SM-5BC78,0.0,1.162,0.0,0.0,0.02636,0.07652,0.06838,0.21,0.015619999999999998,0.009283,Anterior cingulate cortex (BA24) 
