sample,DDX11L1_expression,tissue_type
GTEX-11GSP-0011-R3a-SM-9QEGF,0.01511,Anterior cingulate cortex (BA24) 
GTEX-11GSP-0011-R5a-SM-57WBE,0,Caudate (basal ganglia) 
GTEX-11GSP-0011-R6b-SM-57WBQ,0,Nucleus accumbens (basal ganglia) 
GTEX-11GSP-0011-R7b-SM-57WC3,0.01927,Putamen (basal ganglia) 
GTEX-11GSP-0011-R8b-SM-5NQ79,0.01695,Hypothalamus 
GTEX-11GSP-0011-R9b-SM-5NQ77,0.01983,Spinal cord (cervical c-1) 
GTEX-11GSP-3126-SM-5A5LL,0.02734,Cerebellum 
GTEX-11GSP-3226-SM-5986O,0.01693,Cortex 
GTEX-11H98-0011-R10b-SM-5NQ98,0,Frontal Cortex (BA9) 
GTEX-11H98-0011-R11b-SM-5NQ6U,0,Cerebellar Hemisphere 
GTEX-11H98-0011-R5b-SM-57WCF,0,Caudate (basal ganglia) 
GTEX-11H98-0011-R8a-SM-5NQ8V,0,Hypothalamus 
GTEX-11NUK-0011-R4a-SM-DO12B,0.07179,Amygdala 
GTEX-11NUK-0011-R5a-SM-DO93N,0.01298,Caudate (basal ganglia) 
GTEX-11NUK-0011-R6a-SM-DO93O,0.01369,Nucleus accumbens (basal ganglia) 
GTEX-11NUK-0011-R7a-SM-DO93P,0,Putamen (basal ganglia) 
GTEX-11NUK-2926-SM-5A5MD,0.01797,Cortex 
GTEX-11NUK-3026-SM-5986K,0,Cerebellum 
GTEX-11NV4-0011-R5a-SM-5NQ88,0,Caudate (basal ganglia) 
GTEX-11NV4-0011-R6a-SM-57WD5,0.01613,Nucleus accumbens (basal ganglia) 
GTEX-11NV4-0011-R7a-SM-57WDH,0,Putamen (basal ganglia) 
GTEX-11NV4-2126-SM-5N9DS,0,Cortex 
GTEX-11NV4-2226-SM-5BC4T,0,Cerebellum 
GTEX-11O72-0011-R5a-SM-DO922,0,Caudate (basal ganglia) 
GTEX-11O72-0011-R6a-SM-DNZZQ,0,Nucleus accumbens (basal ganglia) 
GTEX-11O72-2826-SM-5HL6W,0.03311,Cerebellum 
GTEX-11O72-2926-SM-5BC4V,0.0192,Cortex 
GTEX-11OC5-0626-SM-5HL6M,0,Cerebellum 
GTEX-11OC5-0726-SM-5P9JK,0,Cortex 
GTEX-11OF3-0011-R11a-SM-57WCR,0,Cerebellar Hemisphere 
GTEX-11OF3-0011-R5a-SM-57WB4,0,Caudate (basal ganglia) 
GTEX-11OF3-0011-R6b-SM-57WBG,0,Nucleus accumbens (basal ganglia) 
GTEX-11OF3-0011-R7a-SM-57WCG,0,Putamen (basal ganglia) 
GTEX-11OF3-0011-R8b-SM-57WCS,0,Hypothalamus 
GTEX-11OF3-2926-SM-5HL78,0.02889,Cortex 
GTEX-11ONC-0011-R1a-SM-57WD4,0.01915,Hippocampus 
GTEX-11ONC-0011-R4b-SM-DO93H,0,Amygdala 
GTEX-11ONC-0011-R5b-SM-DO93I,0,Caudate (basal ganglia) 
GTEX-11ONC-0011-R6a-SM-DO12A,0.01397,Nucleus accumbens (basal ganglia) 
GTEX-11ONC-0011-R7b-SM-DO93J,0,Putamen (basal ganglia) 
GTEX-11ONC-0011-R8b-SM-5NQ87,0,Hypothalamus 
GTEX-11ONC-0011-R9b-SM-5NQ8J,0,Spinal cord (cervical c-1) 
GTEX-11ONC-2926-SM-5P9JM,0.03437,Cortex 
GTEX-11ONC-3026-SM-5985W,0.05504,Cerebellum 
GTEX-11PRG-0011-R10b-SM-DO93G,0,Frontal Cortex (BA9) 
GTEX-11PRG-0011-R11b-SM-DNZZY,0,Cerebellar Hemisphere 
GTEX-11PRG-0011-R2a-SM-69LQ5,0,Substantia nigra 
GTEX-11PRG-0011-R4a-SM-DNZZR,0,Amygdala 
GTEX-11PRG-0011-R5b-SM-DNZZS,0.01362,Caudate (basal ganglia) 
GTEX-11PRG-0011-R6b-SM-DO923,0.01408,Nucleus accumbens (basal ganglia) 
GTEX-11PRG-0011-R7a-SM-DNZZT,0.01347,Putamen (basal ganglia) 
GTEX-11PRG-2826-SM-5BC54,0,Cerebellum 
GTEX-11PRG-2926-SM-5987A,0,Cortex 
GTEX-11TTK-0011-R10b-SM-DO925,0,Frontal Cortex (BA9) 
GTEX-11TTK-0011-R11b-SM-DO112,0.02062,Cerebellar Hemisphere 
GTEX-11TTK-0011-R4a-SM-DNZZU,0,Amygdala 
GTEX-11TTK-0011-R5a-SM-DNZZV,0,Caudate (basal ganglia) 
GTEX-11TTK-0011-R6b-SM-DNZZW,0,Nucleus accumbens (basal ganglia) 
GTEX-11TTK-0011-R7b-SM-DNZZZ,0,Putamen (basal ganglia) 
GTEX-11TTK-0011-R8b-SM-DO111,0.01537,Hypothalamus 
GTEX-11TTK-2826-SM-5GU5K,0.08278,Cerebellum 
GTEX-11TTK-2926-SM-5PNYP,0.05276,Cortex 
GTEX-11TUW-0011-R10a-SM-DO924,0,Frontal Cortex (BA9) 
GTEX-11TUW-0011-R1a-SM-DO92S,0,Hippocampus 
GTEX-11TUW-0011-R2b-SM-DO92T,0,Substantia nigra 
GTEX-11UD1-0011-R1b-SM-5BC7D,0,Hippocampus 
GTEX-11UD1-0011-R2b-SM-5BC6O,0.02787,Substantia nigra 
GTEX-11UD1-0011-R3a-SM-5BC6S,0,Anterior cingulate cortex (BA24) 
GTEX-11UD1-0011-R5b-SM-5P9FP,0.01929,Caudate (basal ganglia) 
GTEX-11UD2-0011-R9b-SM-DO926,0,Spinal cord (cervical c-1) 
GTEX-11WQC-0011-R10a-SM-57WCT,0.02208,Frontal Cortex (BA9) 
GTEX-11WQC-0011-R11b-SM-57WD6,0.06373,Cerebellar Hemisphere 
GTEX-11WQC-0011-R1b-SM-DO932,0.0277,Hippocampus 
GTEX-11WQC-0011-R2a-SM-DO927,0,Substantia nigra 
GTEX-11WQC-0011-R3a-SM-DO11T,0,Anterior cingulate cortex (BA24) 
GTEX-11WQC-0011-R5a-SM-5BC74,0,Caudate (basal ganglia) 
GTEX-11WQC-0011-R6a-SM-5BC77,0,Nucleus accumbens (basal ganglia) 
GTEX-11WQC-0011-R7b-SM-5BC7A,0,Putamen (basal ganglia) 
GTEX-11WQC-0011-R8b-SM-57WCH,0,Hypothalamus 
GTEX-11WQK-0011-R10a-SM-5BC6R,0.0448,Frontal Cortex (BA9) 
GTEX-11WQK-0011-R3b-SM-DO93K,0,Anterior cingulate cortex (BA24) 
GTEX-11WQK-0011-R8a-SM-5BC7C,0.01694,Hypothalamus 
GTEX-11WQK-0011-R9b-SM-5BC6N,0,Spinal cord (cervical c-1) 
GTEX-11WQK-3026-SM-5EQL6,0,Cortex 
GTEX-11ZTS-0011-R10a-SM-DO93S,0,Frontal Cortex (BA9) 
GTEX-11ZTS-0011-R11a-SM-DO113,0.0622,Cerebellar Hemisphere 
GTEX-11ZTS-0011-R1a-SM-5BC71,0,Hippocampus 
GTEX-11ZTS-0011-R2b-SM-5BC75,0.04344,Substantia nigra 
GTEX-11ZTS-0011-R3a-SM-5BC78,0,Anterior cingulate cortex (BA24) 
GTEX-11ZTS-0011-R8a-SM-57WDI,0.01585,Hypothalamus 
GTEX-11ZTS-0011-R9b-SM-DO93Q,0.03026,Spinal cord (cervical c-1) 
GTEX-11ZTS-3226-SM-5EGID,0,Cerebellum 
GTEX-11ZU8-0011-R4a-SM-5BC6Y,0.01724,Amygdala 
GTEX-11ZUS-0011-R11b-SM-5BC7B,0,Cerebellar Hemisphere 
GTEX-11ZUS-0011-R8a-SM-5BC73,0,Hypothalamus 
GTEX-11ZUS-0011-R9b-SM-5BC76,0.02494,Spinal cord (cervical c-1) 
GTEX-11ZUS-2826-SM-5EQKW,0.07297,Cerebellum 
GTEX-11ZUS-2926-SM-5FQSL,0.02047,Cortex 
GTEX-11ZVC-0011-R1b-SM-5BC6M,0,Hippocampus 
GTEX-11ZVC-0011-R3a-SM-5BC6V,0,Anterior cingulate cortex (BA24) 
GTEX-11ZVC-0011-R4a-SM-5BC6Z,0,Amygdala 
GTEX-11ZVC-0011-R9a-SM-57WC5,0,Spinal cord (cervical c-1) 
GTEX-11ZVC-3026-SM-59HJM,0,Cerebellum 
GTEX-12126-0011-R10b-SM-5BC6T,0.02101,Frontal Cortex (BA9) 
GTEX-12126-0011-R11a-SM-5BC6X,0.03362,Cerebellar Hemisphere 
GTEX-12126-0011-R9b-SM-5BC6P,0,Spinal cord (cervical c-1) 
GTEX-12126-0926-SM-5FQTW,0,Cerebellum 
GTEX-12126-1026-SM-5P9JJ,0.03046,Cortex 
GTEX-1212Z-0011-R1b-SM-5BC72,0.0216,Hippocampus 
GTEX-12584-0011-R6a-SM-5NQ7C,0,Nucleus accumbens (basal ganglia) 
GTEX-1269C-3126-SM-5EGI6,0,Cerebellum 
GTEX-12WSA-0011-R10b-SM-5P9ET,0,Frontal Cortex (BA9) 
GTEX-12WSA-0011-R2a-SM-57WDK,0.01789,Substantia nigra 
GTEX-12WSA-0011-R4a-SM-57WB7,0.01509,Amygdala 
GTEX-12WSA-0011-R5b-SM-5GU5I,0,Caudate (basal ganglia) 
GTEX-12WSA-0011-R7b-SM-5GU5U,0.01902,Putamen (basal ganglia) 
GTEX-12WSA-0011-R8a-SM-5P9EX,0.01024,Hypothalamus 
GTEX-12WSA-2926-SM-5EQ4D,0.03227,Cortex 
GTEX-12WSC-0011-R10a-SM-5GU57,0,Frontal Cortex (BA9) 
GTEX-12WSC-0011-R11a-SM-5GU5J,0,Cerebellar Hemisphere 
GTEX-12WSC-0011-R3a-SM-5P9F1,0.01057,Anterior cingulate cortex (BA24) 
GTEX-12WSC-0011-R5b-SM-5CVNS,0,Caudate (basal ganglia) 
GTEX-12WSC-0011-R6b-SM-5LU99,0,Nucleus accumbens (basal ganglia) 
GTEX-12WSC-0011-R7b-SM-5LU9L,0,Putamen (basal ganglia) 
GTEX-12WSC-0011-R9a-SM-5GU4U,0.09479,Spinal cord (cervical c-1) 
GTEX-12WSC-2926-SM-5BC5Z,0,Cerebellum 
GTEX-12WSC-3026-SM-5GCNF,0.0211,Cortex 
GTEX-12WSD-0011-R11a-SM-9OSVC,0.03951,Cerebellar Hemisphere 
GTEX-12WSD-0011-R1b-SM-5LZVY,0.03695,Hippocampus 
GTEX-12WSD-0011-R2a-SM-5LZWB,0.01543,Substantia nigra 
GTEX-12WSD-0011-R3b-SM-5LZWN,0.0347,Anterior cingulate cortex (BA24) 
GTEX-12WSD-0011-R4b-SM-5LZUA,0,Amygdala 
GTEX-12WSD-0011-R5b-SM-5CVNG,0,Caudate (basal ganglia) 
GTEX-12WSD-0011-R6b-SM-5P9JU,0,Nucleus accumbens (basal ganglia) 
GTEX-12WSD-0011-R7b-SM-5PNWE,0,Putamen (basal ganglia) 
GTEX-12WSD-0011-R9a-SM-5GU6W,0,Spinal cord (cervical c-1) 
GTEX-12WSD-3026-SM-5LZU7,0,Cerebellum 
GTEX-12WSD-3126-SM-5HL7P,0,Cortex 
GTEX-12WSE-0011-R10b-SM-5P9JV,0.01602,Frontal Cortex (BA9) 
GTEX-12WSE-0011-R11b-SM-5P9JW,0.04733,Cerebellar Hemisphere 
GTEX-12WSE-0011-R1b-SM-5GU4V,0.04011,Hippocampus 
GTEX-12WSE-0011-R6b-SM-5LZV5,0.01617,Nucleus accumbens (basal ganglia) 
GTEX-12WSE-0011-R7a-SM-5PNWF,0,Putamen (basal ganglia) 
GTEX-12WSE-2926-SM-5RQJ9,0,Cerebellum 
GTEX-12WSF-0011-R10a-SM-5LZVH,0,Frontal Cortex (BA9) 
GTEX-12WSF-0011-R11a-SM-5LZVT,0.05293,Cerebellar Hemisphere 
GTEX-12WSF-0011-R1a-SM-5DUVI,0,Hippocampus 
GTEX-12WSF-0011-R2a-SM-5DUVU,0.01533,Substantia nigra 
GTEX-12WSF-0011-R3a-SM-5DUW7,0.03671,Anterior cingulate cortex (BA24) 
GTEX-12WSF-0011-R4b-SM-5HL88,0,Amygdala 
GTEX-12WSF-0011-R5a-SM-5HL8K,0,Caudate (basal ganglia) 
GTEX-12WSF-0011-R6b-SM-5HL8W,0,Nucleus accumbens (basal ganglia) 
GTEX-12WSF-0011-R7b-SM-5HL99,0,Putamen (basal ganglia) 
GTEX-12WSF-3126-SM-6M478,0,Cortex 
GTEX-12WSH-0011-R10a-SM-5LZUS,0,Frontal Cortex (BA9) 
GTEX-12WSH-0011-R11a-SM-5LZVM,0.03152,Cerebellar Hemisphere 
GTEX-12WSH-0011-R1a-SM-5GU5V,0,Hippocampus 
GTEX-12WSH-0011-R2a-SM-5GU68,0,Substantia nigra 
GTEX-12WSH-0011-R4a-SM-5GU6K,0.01996,Amygdala 
GTEX-12WSH-0011-R5b-SM-5P9F3,0,Caudate (basal ganglia) 
GTEX-12WSH-0011-R6b-SM-5P9F4,0,Nucleus accumbens (basal ganglia) 
GTEX-12WSH-0011-R9b-SM-5LZUG,0.02745,Spinal cord (cervical c-1) 
GTEX-12WSH-3026-SM-5CVNI,0.01848,Cortex 
GTEX-12WSH-3126-SM-5LZW8,0,Cerebellum 
GTEX-12WSI-0011-R11b-SM-5P9EZ,0,Cerebellar Hemisphere 
GTEX-12WSI-0011-R7b-SM-5GU78,0.02348,Putamen (basal ganglia) 
GTEX-12WSM-0011-R10a-SM-5DUWV,0,Frontal Cortex (BA9) 
GTEX-12WSM-0011-R11a-SM-5DUX8,0,Cerebellar Hemisphere 
GTEX-12WSM-0011-R1a-SM-5LZW6,0.02035,Hippocampus 
GTEX-12WSM-0011-R3b-SM-5LZWI,0,Anterior cingulate cortex (BA24) 
GTEX-12WSM-0011-R5a-SM-5EQ4Y,0.01783,Caudate (basal ganglia) 
GTEX-12WSM-0011-R6b-SM-5EQ6N,0,Nucleus accumbens (basal ganglia) 
GTEX-12WSM-0011-R7b-SM-5EGLD,0,Putamen (basal ganglia) 
GTEX-12WSM-0011-R8a-SM-5DUWJ,0,Hypothalamus 
GTEX-12WSM-2126-SM-5GCOC,0,Cerebellum 
GTEX-12ZZW-0011-R10b-SM-5HL9X,0,Frontal Cortex (BA9) 
GTEX-12ZZW-0011-R3a-SM-5DUWW,0,Anterior cingulate cortex (BA24) 
GTEX-12ZZW-0011-R4a-SM-5DUX9,0,Amygdala 
GTEX-12ZZW-0011-R5a-SM-5DUVN,0,Caudate (basal ganglia) 
GTEX-12ZZW-0011-R6a-SM-5DUVZ,0.01761,Nucleus accumbens (basal ganglia) 
GTEX-12ZZW-0011-R7a-SM-5DUWC,0,Putamen (basal ganglia) 
GTEX-12ZZW-2926-SM-5LZUP,0,Cortex 
GTEX-12ZZX-0011-R10b-SM-5DUWK,0.0251,Frontal Cortex (BA9) 
GTEX-12ZZX-0011-R11a-SM-5DUVJ,0,Cerebellar Hemisphere 
GTEX-12ZZX-0011-R1a-SM-5EQ6B,0,Hippocampus 
GTEX-12ZZX-0011-R2a-SM-5EGLG,0.02004,Substantia nigra 
GTEX-12ZZX-0011-R3b-SM-5EGLH,0.01836,Anterior cingulate cortex (BA24) 
GTEX-12ZZX-0011-R5a-SM-5HL89,0.01426,Caudate (basal ganglia) 
GTEX-12ZZX-0011-R6a-SM-5HL8L,0,Nucleus accumbens (basal ganglia) 
GTEX-12ZZX-0011-R7b-SM-5DUVV,0,Putamen (basal ganglia) 
GTEX-12ZZX-0011-R8a-SM-5DUW8,0,Hypothalamus 
GTEX-12ZZX-2826-SM-5BC6K,0.032,Cerebellum 
GTEX-12ZZX-2926-SM-5GCOQ,0,Cortex 
GTEX-12ZZY-0011-R10b-SM-5HL7W,0,Frontal Cortex (BA9) 
GTEX-12ZZY-0011-R5a-SM-5EGL9,0,Caudate (basal ganglia) 
GTEX-12ZZY-0011-R6b-SM-5EGLA,0.01824,Nucleus accumbens (basal ganglia) 
GTEX-12ZZY-0011-R7a-SM-5EGLB,0,Putamen (basal ganglia) 
GTEX-12ZZY-2926-SM-5DUXO,0.03419,Cerebellum 
GTEX-12ZZY-3026-SM-5GCOU,0.05319,Cortex 
GTEX-12ZZZ-0011-R10a-SM-5P9HC,0.01326,Frontal Cortex (BA9) 
GTEX-12ZZZ-0011-R11a-SM-5EGLC,0.01294,Cerebellar Hemisphere 
GTEX-12ZZZ-0011-R3b-SM-5DUXK,0.01763,Anterior cingulate cortex (BA24) 
GTEX-12ZZZ-0011-R4b-SM-5DUV7,0,Amygdala 
GTEX-12ZZZ-0011-R5a-SM-5EQ4M,0,Caudate (basal ganglia) 
GTEX-12ZZZ-0011-R6b-SM-5EQ5B,0.03278,Nucleus accumbens (basal ganglia) 
GTEX-12ZZZ-0011-R7b-SM-5EGLE,0.01578,Putamen (basal ganglia) 
GTEX-12ZZZ-3026-SM-5BC67,0.02618,Cortex 
GTEX-12ZZZ-3126-SM-5LZU6,0,Cerebellum 
GTEX-13112-0011-R1b-SM-5HL7K,0.0137,Hippocampus 
GTEX-13112-0011-R3b-SM-5HL9L,0,Anterior cingulate cortex (BA24) 
GTEX-13112-0011-R4b-SM-5DUXL,0,Amygdala 
GTEX-13112-0011-R5b-SM-5DUV8,0,Caudate (basal ganglia) 
GTEX-13112-0011-R6b-SM-5DUVK,0,Nucleus accumbens (basal ganglia) 
GTEX-13112-0011-R7b-SM-5DUVW,0,Putamen (basal ganglia) 
GTEX-13112-0011-R8b-SM-664OV,0,Hypothalamus 
GTEX-13112-2926-SM-5DUWT,0,Cerebellum 
GTEX-1313W-0011-R10b-SM-5DUXA,0,Frontal Cortex (BA9) 
GTEX-1313W-0011-R11a-SM-5DUXN,0.06734,Cerebellar Hemisphere 
GTEX-1313W-0011-R1b-SM-5EQ4A,0,Hippocampus 
GTEX-1313W-0011-R2a-SM-5EGLF,0,Substantia nigra 
GTEX-1313W-0011-R3a-SM-5EGLI,0,Anterior cingulate cortex (BA24) 
GTEX-1313W-0011-R4b-SM-5KLZV,0.03167,Amygdala 
GTEX-1313W-0011-R5b-SM-5L3EP,0,Caudate (basal ganglia) 
GTEX-1313W-0011-R6a-SM-5K7XO,0.04668,Nucleus accumbens (basal ganglia) 
GTEX-1313W-0011-R7b-SM-5DUWL,0,Putamen (basal ganglia) 
GTEX-1313W-0011-R8a-SM-5DUVM,0.02083,Hypothalamus 
GTEX-1313W-3026-SM-5LZUZ,0,Cerebellum 
GTEX-1313W-3126-SM-5LZUI,0,Cortex 
GTEX-131XH-0011-R10a-SM-5EGLJ,0,Frontal Cortex (BA9) 
GTEX-131XH-0011-R11a-SM-5EGLN,0,Cerebellar Hemisphere 
GTEX-131XH-0011-R1a-SM-5DUWA,0,Hippocampus 
GTEX-131XH-0011-R2b-SM-5DUVY,0,Substantia nigra 
GTEX-131XH-0011-R3b-SM-5DUWM,0,Anterior cingulate cortex (BA24) 
GTEX-131XH-0011-R4b-SM-5DUWB,0,Amygdala 
GTEX-131XH-0011-R6a-SM-5KM2G,0.04341,Nucleus accumbens (basal ganglia) 
GTEX-131XH-0011-R8a-SM-5EGLL,0,Hypothalamus 
GTEX-131XH-2926-SM-5LZU4,0,Cerebellum 
GTEX-131XW-0011-R10a-SM-5DUVA,0,Frontal Cortex (BA9) 
GTEX-131XW-0011-R11a-SM-5DUV9,0.01788,Cerebellar Hemisphere 
GTEX-131XW-0011-R6b-SM-5K7XY,0,Nucleus accumbens (basal ganglia) 
GTEX-131XW-0011-R8a-SM-5DUWY,0,Hypothalamus 
GTEX-131XW-0011-R9a-SM-5N9EO,0,Spinal cord (cervical c-1) 
GTEX-131XW-3126-SM-5LZUC,0,Cortex 
GTEX-131YS-0011-R10b-SM-5EQ5N,0,Frontal Cortex (BA9) 
GTEX-131YS-0011-R11b-SM-5EGLM,0.07008,Cerebellar Hemisphere 
GTEX-131YS-0011-R1a-SM-5DUXC,0,Hippocampus 
GTEX-131YS-0011-R3b-SM-5DUXB,0,Anterior cingulate cortex (BA24) 
GTEX-131YS-0011-R4a-SM-5DUVL,0.04855,Amygdala 
GTEX-131YS-0011-R5b-SM-5K7YB,0,Caudate (basal ganglia) 
GTEX-131YS-0011-R7a-SM-5IJDA,0,Putamen (basal ganglia) 
GTEX-131YS-0011-R9b-SM-5EQLY,0.02368,Spinal cord (cervical c-1) 
GTEX-131YS-3026-SM-5EGHY,0.06057,Cerebellum 
GTEX-131YS-3126-SM-5KLYT,0.01902,Cortex 
GTEX-132Q8-0011-R10b-SM-5DUWZ,0.02919,Frontal Cortex (BA9) 
GTEX-132Q8-0011-R11b-SM-5DUW9,0.04926,Cerebellar Hemisphere 
GTEX-132Q8-0011-R1a-SM-5EGLK,0,Hippocampus 
GTEX-132Q8-0011-R2b-SM-5EQ5Z,0.044,Substantia nigra 
GTEX-132Q8-0011-R5a-SM-5IJDM,0,Caudate (basal ganglia) 
GTEX-132Q8-0011-R6a-SM-5K7YN,0,Nucleus accumbens (basal ganglia) 
GTEX-132Q8-0011-R7b-SM-5N9F1,0.005382,Putamen (basal ganglia) 
GTEX-132Q8-0011-R8b-SM-5DUWX,0.01763,Hypothalamus 
GTEX-132Q8-2926-SM-5IFFP,0,Cerebellum 
GTEX-132Q8-3026-SM-5PNVG,0.0387,Cortex 
GTEX-1399T-0011-R11a-SM-5J2O1,0,Cerebellar Hemisphere 
GTEX-1399T-0011-R1b-SM-5DUWN,0.01876,Hippocampus 
GTEX-1399T-0011-R2b-SM-5DUXM,0,Substantia nigra 
GTEX-1399T-0011-R4b-SM-5DUVX,0,Amygdala 
GTEX-1399T-0011-R5b-SM-5IJDK,0,Caudate (basal ganglia) 
GTEX-1399T-0011-R6b-SM-5K7YL,0,Nucleus accumbens (basal ganglia) 
GTEX-1399T-0011-R8b-SM-5IJD8,0,Hypothalamus 
GTEX-1399T-3026-SM-5KLZC,0,Cortex 
GTEX-1399T-3126-SM-5IJFS,0,Cerebellum 
GTEX-139T4-0011-R9b-SM-5HL6S,0,Spinal cord (cervical c-1) 
GTEX-139T8-0011-R1a-SM-5HL75,0.01451,Hippocampus 
GTEX-139T8-0011-R3b-SM-5HL4R,0,Anterior cingulate cortex (BA24) 
GTEX-139T8-0011-R4a-SM-5HL54,0,Amygdala 
GTEX-139T8-0011-R5b-SM-5J1MO,0,Caudate (basal ganglia) 
GTEX-139T8-1026-SM-5J2MC,0.01479,Cortex 
